country,cases,index
Russian Federation,1209742,1
United States,1034013,2
Japan,806902,3
France,329127,4
Ukraine,319950,5
Germany,291262,6
Republic of Korea,261730,7
Brazil,226613,8
Poland,139098,9
United Kingdom,136805,10
Italy,132060,11
Mexico,111139,12
Thailand,110643,13
Canada,107561,14
Kazakhstan,101546,15
Spain,100202,16
Argentina,82219,17
Hungary,73891,18
Romania,72777,19
Australia,70111,20
Belgium,62761,21
Belarus,59892,22
Sri Lanka,55641,23
Colombia,53080,24
Netherlands,50833,25
Austria,50073,26
Czech Republic,43687,27
Cuba,41418,28
Chile,40895,29
Sweden,37795,30
Bulgaria,36388,31
Uzbekistan,34803,32
Finland,33677,33
Lithuania,28039,34
Switzerland,26217,35
Serbia,24179,36
Portugal,24061,37
Philippines,21330,38
Ecuador,20660,39
Croatia,18429,40
Norway,16992,41
Denmark,15297,42
New Zealand,14383,43
Slovakia,13437,44
Uruguay,13138,45
Kyrgyzstan,13090,46
Latvia,12770,47
Ireland,12574,48
Greece,12368,49
El Salvador,11683,50
Israel,11294,51
Slovenia,10615,52
Turkey,10131,53
Singapore,10089,54
Puerto Rico,9043,55
Turkmenistan,8624,56
Guatemala,8149,57
South Africa,7321,58
Estonia,7034,59
Costa Rica,6792,60
Paraguay,4783,61
Trinidad and Tobago,4039,62
Mauritius,3894,63
Panama,3483,64
Guyana,3426,65
Georgia,3224,66
Suriname,2166,67
Nicaragua,2013,68
Albania,1970,69
Luxembourg,1958,70
Armenia,1905,71
Azerbaijan,1656,72
Iceland,1108,73
Kuwait,966,74
United Arab Emirates,622,75
Malta,585,76
Qatar,574,77
Montenegro,472,78
Bahrain,463,79
Mongolia,423,80
Cyprus,412,81
Belize,348,82
Bosnia and Herzegovina,318,83
Fiji,304,84
Saint Lucia,230,85
Jamaica,184,86
Barbados,177,87
Saint Vincent and Grenadines,124,88
Aruba,101,89
Seychelles,98,90
Bahamas,93,91
Kiribati,53,92
Cabo Verde,42,93
Grenada,38,94
Oman,33,95
Macau,27,96
Maldives,20,97
Antigua and Barbuda,11,98
San Marino,4,99
Dominica,0,100
Saint Kitts and Nevis,0,101
