year,sex,cases
1985,female,32479
1986,female,33852
1987,female,35006
1988,female,33015
1989,female,41361
1990,female,50118
1991,female,49622
1992,female,51567
1993,female,51331
1994,female,51532
1995,female,54504
1996,female,54583
1997,female,54126
1998,female,55631
1999,female,56215
2000,female,55254
2001,female,52999
2002,female,55549
2003,female,55627
2004,female,53232
2005,female,52035
2006,female,52039
2007,female,53324
2008,female,53973
2009,female,54920
2010,female,54222
2011,female,54616
2012,female,53011
2013,female,51459
2014,female,51556
2015,female,47248
2016,female,3504
1985,male,83584
1986,male,86818
1987,male,91836
1988,male,88011
1989,male,118883
1990,male,143243
1991,male,148398
1992,male,159906
1993,male,170234
1994,male,180531
1995,male,189040
1996,male,192142
1997,male,186619
1998,male,193960
1999,male,199904
2000,male,200578
2001,male,197653
2002,male,200546
2003,male,200452
2004,male,187629
2005,male,182340
2006,male,181322
2007,male,180084
2008,male,181474
2009,male,188567
2010,male,184480
2011,male,181868
2012,male,177149
2013,male,171740
2014,male,171428
2015,male,156392
2016,male,12099
