Year,Age,Sex,Suicides_no
1985,15-24years,Female,4690
1986,15-24years,Female,4821
1987,15-24years,Female,4046
1988,15-24years,Female,3447
1989,15-24years,Female,4004
1990,15-24years,Female,5308
1991,15-24years,Female,5034
1992,15-24years,Female,5448
1993,15-24years,Female,5181
1994,15-24years,Female,5372
1995,15-24years,Female,5976
1996,15-24years,Female,6243
1997,15-24years,Female,6369
1998,15-24years,Female,6666
1999,15-24years,Female,6518
2000,15-24years,Female,6434
2001,15-24years,Female,6100
2002,15-24years,Female,6227
2003,15-24years,Female,6531
2004,15-24years,Female,5853
2005,15-24years,Female,5869
2006,15-24years,Female,5933
2007,15-24years,Female,5876
2008,15-24years,Female,6163
2009,15-24years,Female,6371
2010,15-24years,Female,6164
2011,15-24years,Female,6468
2012,15-24years,Female,5940
2013,15-24years,Female,5666
2014,15-24years,Female,5452
2015,15-24years,Female,5029
2016,15-24years,Female,238
1985,25-34years,Female,4894
1986,25-34years,Female,5058
1987,25-34years,Female,4923
1988,25-34years,Female,4468
1989,25-34years,Female,5422
1990,25-34years,Female,6772
1991,25-34years,Female,6486
1992,25-34years,Female,6830
1993,25-34years,Female,6812
1994,25-34years,Female,6846
1995,25-34years,Female,7117
1996,25-34years,Female,7432
1997,25-34years,Female,7455
1998,25-34years,Female,7439
1999,25-34years,Female,7444
2000,25-34years,Female,7269
2001,25-34years,Female,6738
2002,25-34years,Female,7254
2003,25-34years,Female,7287
2004,25-34years,Female,6833
2005,25-34years,Female,6936
2006,25-34years,Female,6763
2007,25-34years,Female,7254
2008,25-34years,Female,7387
2009,25-34years,Female,7596
2010,25-34years,Female,7363
2011,25-34years,Female,7437
2012,25-34years,Female,7080
2013,25-34years,Female,6719
2014,25-34years,Female,6871
2015,25-34years,Female,6265
2016,25-34years,Female,373
1985,35-54years,Female,9476
1986,35-54years,Female,10047
1987,35-54years,Female,10551
1988,35-54years,Female,10014
1989,35-54years,Female,12246
1990,35-54years,Female,14622
1991,35-54years,Female,14824
1992,35-54years,Female,15840
1993,35-54years,Female,15947
1994,35-54years,Female,16238
1995,35-54years,Female,17304
1996,35-54years,Female,17327
1997,35-54years,Female,17223
1998,35-54years,Female,17446
1999,35-54years,Female,18147
2000,35-54years,Female,18203
2001,35-54years,Female,17863
2002,35-54years,Female,18786
2003,35-54years,Female,18676
2004,35-54years,Female,18362
2005,35-54years,Female,17447
2006,35-54years,Female,17642
2007,35-54years,Female,17989
2008,35-54years,Female,18408
2009,35-54years,Female,18751
2010,35-54years,Female,18468
2011,35-54years,Female,18344
2012,35-54years,Female,17986
2013,35-54years,Female,17524
2014,35-54years,Female,17424
2015,35-54years,Female,15876
2016,35-54years,Female,1232
1985,5-14years,Female,351
1986,5-14years,Female,303
1987,5-14years,Female,271
1988,5-14years,Female,244
1989,5-14years,Female,308
1990,5-14years,Female,384
1991,5-14years,Female,379
1992,5-14years,Female,455
1993,5-14years,Female,479
1994,5-14years,Female,475
1995,5-14years,Female,538
1996,5-14years,Female,538
1997,5-14years,Female,578
1998,5-14years,Female,662
1999,5-14years,Female,596
2000,5-14years,Female,580
2001,5-14years,Female,649
2002,5-14years,Female,677
2003,5-14years,Female,600
2004,5-14years,Female,607
2005,5-14years,Female,566
2006,5-14years,Female,616
2007,5-14years,Female,585
2008,5-14years,Female,628
2009,5-14years,Female,724
2010,5-14years,Female,675
2011,5-14years,Female,748
2012,5-14years,Female,608
2013,5-14years,Female,719
2014,5-14years,Female,761
2015,5-14years,Female,693
2016,5-14years,Female,0
1985,55-74years,Female,9057
1986,55-74years,Female,9308
1987,55-74years,Female,10373
1988,55-74years,Female,9869
1989,55-74years,Female,12727
1990,55-74years,Female,14891
1991,55-74years,Female,14887
1992,55-74years,Female,15129
1993,55-74years,Female,15288
1994,55-74years,Female,15129
1995,55-74years,Female,15808
1996,55-74years,Female,15495
1997,55-74years,Female,14941
1998,55-74years,Female,15451
1999,55-74years,Female,15569
2000,55-74years,Female,15026
2001,55-74years,Female,14121
2002,55-74years,Female,14680
2003,55-74years,Female,14618
2004,55-74years,Female,13902
2005,55-74years,Female,13730
2006,55-74years,Female,13608
2007,55-74years,Female,14004
2008,55-74years,Female,13878
2009,55-74years,Female,14216
2010,55-74years,Female,14297
2011,55-74years,Female,14227
2012,55-74years,Female,14071
2013,55-74years,Female,13810
2014,55-74years,Female,13926
2015,55-74years,Female,12881
2016,55-74years,Female,1119
1985,75+years,Female,4011
1986,75+years,Female,4315
1987,75+years,Female,4842
1988,75+years,Female,4973
1989,75+years,Female,6654
1990,75+years,Female,8141
1991,75+years,Female,8012
1992,75+years,Female,7865
1993,75+years,Female,7624
1994,75+years,Female,7472
1995,75+years,Female,7761
1996,75+years,Female,7548
1997,75+years,Female,7560
1998,75+years,Female,7967
1999,75+years,Female,7941
2000,75+years,Female,7742
2001,75+years,Female,7528
2002,75+years,Female,7925
2003,75+years,Female,7915
2004,75+years,Female,7675
2005,75+years,Female,7487
2006,75+years,Female,7477
2007,75+years,Female,7616
2008,75+years,Female,7509
2009,75+years,Female,7262
2010,75+years,Female,7255
2011,75+years,Female,7392
2012,75+years,Female,7326
2013,75+years,Female,7021
2014,75+years,Female,7122
2015,75+years,Female,6504
2016,75+years,Female,542
1985,15-24years,Male,13180
1986,15-24years,Male,13242
1987,15-24years,Male,12386
1988,15-24years,Male,11890
1989,15-24years,Male,14632
1990,15-24years,Male,17940
1991,15-24years,Male,18283
1992,15-24years,Male,19279
1993,15-24years,Male,20081
1994,15-24years,Male,21924
1995,15-24years,Male,23485
1996,15-24years,Male,24122
1997,15-24years,Male,23788
1998,15-24years,Male,24151
1999,15-24years,Male,25064
2000,15-24years,Male,25308
2001,15-24years,Male,24706
2002,15-24years,Male,24860
